gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
925768099	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bf1a0f25-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Bradley Creek, 0.5 mi S of Laseassas & TN Hwy 96, 200 ft below bridge	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	35.926389	-86.295833							1971-04-20T00:00:00	20	4	1971	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	12786.01				CC0_1_0		D. Tate, Watson		Native	2023-01-25T00:18:02.903Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925768068	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bf1a0d46-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Big Springs Creek on Cobb Road, 0.5 mi E of jct with US Hwy 41	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	35.710833	-86.273333					1.525	1.525	1971-04-20T00:00:00	20	4	1971	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	12785.01				CC0_1_0		D. Tate, Watson		Native	2023-01-25T00:18:09.237Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925768007	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bf1bf08c-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	East Fork Stones River at TN Hwy 53, 2.1 airmi E of Woodbury	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	35.813889	-86.046111					0.61	0.0	1978-03-23T00:00:00	23	3	1978	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	12855.01				CC0_1_0		J.P. Beets, N.M. Burkhead, J.L. Harris,		Native	2023-01-25T00:18:09.250Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925767618	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bf154c5b-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Stoners Creek, 5 km W of Mount Juliet along Old Railroad Road	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	36.200833	-86.566389							2000-03-18T00:00:00	18	3	2000	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	12740.05				CC0_1_0		S.L. Powers, M.D. Roach		Native	2023-01-25T00:18:09.217Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925766339	e90a588b-0eed-4077-8a4f-7e61da35b3f8	befba599-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Fishing Creek at Hogue off Co. Rd. 1676	Kentucky	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	37.164167	-84.707778							2000-05-10T00:00:00	10	5	2000	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	12472.08				CC0_1_0		S.L. Powers, M.R. Thomas		Native	2023-01-25T00:18:09.184Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925766289	e90a588b-0eed-4077-8a4f-7e61da35b3f8	befe7053-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Whipoorwill Creek at US Hwy 79, ca. 10 km SW of Russellville	Kentucky	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	36.796389	-81.977778							2000-06-02T00:00:00	2	6	2000	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	12500.02				CC0_1_0		S.L. Powers, H.A. Bart		Native	2023-01-25T00:18:02.742Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925761327	e90a588b-0eed-4077-8a4f-7e61da35b3f8	be9e2599-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Buffalo River at TN Hwy 99 at mouth of Grinders Creek, 3.9 mi WNW of Napier	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	35.4625	-87.535556							1996-06-22T00:00:00	22	6	1996	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	11418.15				CC0_1_0		B.R. Kuhajda, A.M. Simons, R.M. Wood,		Native	2023-01-25T00:18:02.889Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925713924	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bb4b6b31-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Junction of West and Middle Fork Stones River, SSW of Murfreesboro	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	35.826667	-86.423333							1970-07-25T00:00:00	25	7	1970	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	03908.12				CC0_1_0		D. Paterson, D. Gibson		Native	2023-01-25T00:18:03.168Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
925713845	e90a588b-0eed-4077-8a4f-7e61da35b3f8	bb4bc71b-f301-11e3-8701-005056a90e32	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Dry Fork Creek on I40, 6.5 mi E of Wilson-Smith county line	Tennessee	PRESENT		79324e30-d4c7-11d8-bf69-b8a03c50a862	36.179167	-85.970556							1970-08-12T00:00:00	12	8	1970	2382287	2382287	PRESERVED_SPECIMEN	UA	UAIC	03911.10				CC0_1_0		JD Williams, D Patterson		Native	2023-01-25T00:17:57.740Z		COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COLLECTION_MATCH_FUZZY
895520647	2a79f202-3f3a-4d54-88fa-09aa8de1ac73	E16678D3-7976-47E6-B485-13103B536DF0	Animalia	Chordata		Perciformes	Percidae	Etheostoma	Etheostoma atripinne		SPECIES	Etheostoma atripinne (Jordan, 1877)	Etheostoma atripinne		US	Caney Creek by Caney Creek Road, 0.25 miles N of US 127 (and Forbus), 7.1 air miles E of Byrdstown	Tennessee	PRESENT	2	69e7f900-ed5b-11dd-ac7e-b8a03c50a862	36.566399	-85.009499							2011-11-12T00:00:00	12	11	2011	2382287	2382287	PRESERVED_SPECIMEN	NCSM	NCSM-Fishes	67314		MG Gatens/2011		CC0_1_0	North Carolina Museum of Natural Sciences				2023-01-24T16:04:34.414Z		COORDINATE_ROUNDED;REFERENCES_URI_INVALID;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
